Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
RR Pant (INDIA),2018-2019,11,18,1,754,159*,44.35,,,2,2,1,test.csv,,
Mohammad Amir (PAK),2009-2019,36,67,11,751,48,13.41,,,0,0,7,test.csv,,
GOB Allen (ENG),1930-1948,25,33,2,750,122,24.19,,,1,3,1,test.csv,,
S Venkataraghavan (INDIA),1965-1983,57,76,12,748,64,11.68,,,0,2,13,test.csv,,
Nasim-ul-Ghani (PAK),1958-1973,29,50,5,747,101,16.6,,,1,2,8,test.csv,,
R Abel (ENG),1888-1902,13,22,2,744,132*,37.2,,,2,2,1,test.csv,,
Haris Sohail (PAK),2017-2019,13,22,1,744,147,35.42,,,2,2,1,test.csv,,
Liton Das (BDESH),2015-2019,18,31,1,744,94,24.8,,,0,4,1,test.csv,,
SJ Harmison (ENG/ICC),2002-2009,63,86,23,743,49*,11.79,,,0,0,21,test.csv,,
GAR Lock (ENG),1952-1968,49,63,9,742,89,13.74,,,0,3,8,test.csv,,
MJ Santner (NZ),2015-2019,22,29,0,741,126,25.55,,,1,2,2,test.csv,,
PL Symcox (SA),1993-1998,20,27,1,741,108,28.5,,,1,4,1,test.csv,,
RS Modi (INDIA),1946-1952,10,17,1,736,112,46.0,,,1,6,0,test.csv,,
EAS Prasanna (INDIA),1962-1978,49,84,20,735,37,11.48,,,0,0,15,test.csv,,
FR Brown (ENG),1931-1953,22,30,1,734,79,25.31,,,0,5,1,test.csv,,
RW Morgan (NZ),1965-1972,20,34,1,734,97,22.24,,,0,5,5,test.csv,,
JJ Lyons (AUS),1887-1897,14,27,0,731,134,27.07,,,1,3,1,test.csv,,
J Arun Lal (INDIA),1982-1989,16,29,1,729,93,26.03,,,0,6,1,test.csv,,
MD Bell (NZ),1998-2008,18,32,2,729,107,24.3,,,2,3,7,test.csv,,
DJ Nash (NZ),1992-2001,32,45,14,729,89*,23.51,,,0,4,5,test.csv,,
W Barnes (ENG),1880-1890,21,33,2,725,134,23.38,,,1,5,3,test.csv,,
N Deonarine (WI),2005-2013,18,30,2,725,82,25.89,,,0,5,3,test.csv,,
DJ Malan (ENG),2017-2018,15,26,0,724,140,27.84,,,1,6,1,test.csv,,
CB van Ryneveld (SA),1951-1958,19,33,6,724,83,26.81,,,0,3,2,test.csv,,
CS Dempster (NZ),1930-1933,10,15,4,723,136,65.72,,,2,5,0,test.csv,,
WW Read (ENG),1882-1893,18,27,1,720,117,27.69,,,1,5,0,test.csv,,
NV Knight (ENG),1995-2001,17,30,0,719,113,23.96,,,1,4,1,test.csv,,
Asim Kamal (PAK),2003-2005,12,20,1,717,99,37.73,,,0,8,2,test.csv,,
AV Bedser (ENG),1946-1955,51,71,15,714,79,12.75,,,0,1,11,test.csv,,
RG Archer (AUS),1953-1956,19,30,1,713,128,24.58,,,1,2,4,test.csv,,
DG Brownlie (NZ),2011-2013,14,25,1,711,109,29.62,,,1,4,3,test.csv,,
JDS Neesham (NZ),2014-2017,12,22,1,709,137*,33.76,,,2,4,2,test.csv,,
D Bishoo (WI),2011-2018,36,61,15,707,45,15.36,,,0,0,10,test.csv,,
VY Richardson (AUS),1924-1936,19,30,0,706,138,23.53,,,1,1,5,test.csv,,
I Sharma (INDIA),2007-2019,96,127,43,703,57,8.36,,,0,1,31,test.csv,,
W Bruce (AUS),1885-1895,14,26,2,702,80,29.25,,,0,5,1,test.csv,,
